Stock Number,Artist,Stock
4,David Bowie,2
5,John Lennon,2
6,Jimi Hendrix,3
8,Jimi Hendrix,2
10,Stevie Ray Vaughan,2
11,Eric Clapton,2
12,Metallica,1
13,Nirvarna,1
14,Bob Marley,2
21,Doors,2
22,Pearl Jam,1
28,Pink Beatles,2
32,Jimi Hendrix,3
42,Laurel & Hardy,1
47,Elvis,1
50,Rory Gallagher,2
51,Bob Dylan,3
52,Paul Weller,1
54,Thin Lizzy,1
55,Thin Lizzy,1
56,Rod Stewart,1
57,Eric Clapton,2
58,Jimmy Page,1
59,Neil Young,1
60,Elvis,2
65,James Hetfield,1
67,Bruce Springsteen,1
68,Pantera,2
69,Slayer,2
73,Robert Plant,2
77,Ten Years After,1
78,David Bowie,1
81,Tommy Cooper,1
83,Guns & Roses,2
84,Axl Rose,2
86,Jimi Hendrix,2
88,Jimi Hendrix Experience,1
89,Johnny Lee Hooker,2
91,The Who,1
92,The Jam,1
94,Eddie Van Halen,1
107,Grateful Dead,1
109,Willie Nelson,1
114,Bob Dylan,2
119,Frank Zappa,2
122,Machine Head,1
124,Soulfly,1
125,Deep Purple,1
128,System Of A Down,1
129,Knopfler Harrison & Eric Clapton,1
131,Jimi Hendrix,3
133,U2,2
135,AC/DC,1
136,Gary Moore,1
137,Thin Lizzy,2
138,Jimmy Page,
144,Eric Clapton,2
157,David Bowie,1
159,Ian Anderson,3
161,Jimi Hendrix,2
171,Morrissey,1
172,John Lee Hooker,2
178,Judas Priest,1
179,P.J.Harvey,1
181,B.B.King,2
183,Amy Winehouse,1
189,Joe Strummer,2
190,Taste,2
191,Hawkwind,1
192,Ministry,1
193,Radiohead,1
194,Janis Joplin,2
195,Axl Rose,1
204,Elvis Presley,1
207,Lemmy,1
208,James Hetfield,2
209,Eric Burdon,1
215,Tairrie B,1
217,Janis Joplin,
220,Phil Anselmo,2
221,Syd Barrett,1
223,Polly Jean Harvey,1
224,Slash,2
225,Miles Davis,1
226,Jimi Hendrix,1
227,Bob Dylan,1
228,Jim Morrison,1
229,David Bowie,1
230,Keith Richards,2
233,Alice Cooper,2
235,Jimi Hendrix,2
242,Marvin Gaye,1
244,Black Sabbath,2
245,Manic Street Preachers,2
246,Matthew Bellamy,2
247,Bjork,1
249,Dimebag,1
250,Jimi Hendrix Experience,1
251,Peter Townshend,2
252,Stereophonics,2
253,Larry Miller,1
254,Skrillex,1
258,Red Hot Chili Peppers,2
259,Aerosmith,1
260,Queen,1
261,Iron Maiden,1
262,Rory Gallagher,2
263,Pink Floyd,1
264,Roger Waters,2
265,Captain Beefheart,1
266,Captain Beefheart,1
269,Motorhead,2
270,Jimi Hendrix,1
271,Thin Lizzy,2
273,Keith Richards,1
274,Spike,1
275,Sex Pistols,1
280,John Lennon,1
281,The Smiths,1
282,Batman & The Joker,1
284,Roy Harper,1
285,Sid Barrett,1
289,Louis Armstrong,1
290,David Bowie,2
292,Prince & 3rd Eye Girl,1
294,The Joker,1
295,Rory Gallagher,2
296,The Stone Roses,2
297,Steve Ray Vaughan,1
300,Ginger Baker,1
301,Peter Green,1
303,Jimmy Page,1
308,Ben Poole,1
311,Marc Bolan,2
312,Jim Morrison,1
314,Stevie Nicks,1
315,Soulweaver,1
316,Black Star Riders,1
317,Ozzy Osbourne,2
318,Motorhead,3
321,Black Sabbath,3
322,Lemmy,1
323,Robert Plant,2
325,Kirk Hammett,1
326,Kirk Hammett,1
327,Lemmy,1
328,Doro,1
330,Till Lindermann,1
331,Till Lindermann,1
332,Richard Kruspe,2
334,Ronnie James Dio,1
338,Lemmy,3
339,Marilyn Manson,2
348,Stevie Nicks,1
350,King Crimson,2
352,David Gilmour,1
358,Debbie Harry,1
359,Arthur Brown,3
363,Queen,1
364,Black Moth Harriet,2
367,Wilko Johnson,1
371,Mick Jagger,4
372,Ronnie Wood,2
